date,pud,pu3c,pbur,pwur,pgdp,plpr,pcpi
1/1/1973,-16.5857,-13.2,-9.62,-15.69,5.6,0.6,6.3
1/1/1974,-2.82862,16.1,11.7,18.6,-0.5,0.8,11.0
1/1/1975,46.40411,50.2,40.95,52.94,-0.2,-0.1,9.1
1/1/1976,10.70175,-9.1,-5.41,-10.26,5.4,0.6,5.8
1/1/1977,-9.56154,-8.4,0,-11.43,4.6,1.1,6.5
1/1/1978,-16.76402,-13.9,-9.29,-16.13,5.6,1.5,7.6
1/1/1979,-8.91228,-3.6,-3.15,-1.92,3.2,0.8,11.3
1/1/1980,10.24653,22.6,16.26,23.53,-0.2,0.2,13.5
1/1/1981,15.37386,6.2,9.09,6.35,2.6,0.2,10.4
1/1/1982,13.4464,27.5,21.15,28.36,-1.9,0.2,6.2
1/1/1983,27.76295,-1.1,3.17,-2.33,4.6,0.0,3.2
1/1/1984,-9.27706,-21.8,-18.46,-22.62,7.3,0.6,4.4
1/1/1985,-13.72639,-4.2,-5.03,-4.62,4.2,0.7,3.5
1/1/1986,-3.63054,-2.7,-3.31,-3.23,3.5,0.7,1.9
1/1/1987,-3.54571,-11.8,-10.96,-11.67,3.5,0.5,3.6
1/1/1988,-6.95003,-11.1,-10,-11.32,4.2,0.5,4.1
1/1/1989,-11.85185,-4.2,-1.71,-4.26,3.7,0.8,4.8
1/1/1990,0.70028,6.8,-0.87,6.67,1.9,0.1,5.4
1/1/1991,14.18637,22.0,9.65,27.08,-0.1,-0.6,4.2
1/1/1992,29.90256,9.4,13.6,8.2,3.6,0.4,3.0
1/1/1993,1.17206,-7.8,-8.45,-7.58,2.7,-0.2,3.0
1/1/1994,4.4949,-11.7,-11.54,-13.11,4.0,0.4,2.6
1/1/1995,-11.52993,-8.3,-9.57,-7.55,2.7,0.1,2.8
1/1/1996,0.55138,-3.3,0.96,-4.08,3.8,0.2,2.9
1/1/1997,-5.5334,-8.6,-3.81,-10.64,4.5,0.5,2.3
1/1/1998,-8.28496,-8.9,-11.88,-7.14,4.4,0.0,1.5
1/1/1999,-7.65247,-6.3,-10.11,-5.13,4.7,0.0,2.2
1/1/2000,-5.42056,-5.9,-5,-5.41,4.1,0.0,3.4
1/1/2001,3.42556,19.5,14.47,20,1.0,-0.3,2.8
1/1/2002,27.38854,22.0,17.24,21.43,1.8,-0.4,1.6
1/1/2003,15.4,3.6,5.88,3.92,2.8,-0.5,2.3
1/1/2004,1.94974,-7.5,-3.7,-9.43,3.8,-0.4,2.7
1/1/2005,-6.07735,-8.3,-3.85,-8.33,3.3,0.1,3.4
1/1/2006,-8.55204,-9.3,-10,-9.09,2.7,0.2,3.2
1/1/2007,0.04948,0.2,-7.78,2.5,1.8,-0.2,2.9
1/1/2008,5.58853,25.6,21.69,26.83,-0.3,0.0,3.8
1/1/2009,36.76815,60.1,46.53,63.46,-2.8,-0.9,-0.3
1/1/2010,35.99315,3.5,8.11,2.35,2.5,-1.1,1.6
1/1/2011,19.06321,-7.0,-1.25,-9.2,1.6,-0.9,3.1
1/1/2012,0.0846,-9.6,-12.66,-8.86,2.2,-0.6,2.1
1/1/2013,-7.18512,-8.9,-5.07,-9.72,1.7,-0.7,1.5
1/1/2014,-7.9235,-16.3,-13.74,-18.46,2.6,-0.6,1.6
1/1/2015,-13.64985,-14.3,-15.93,-13.21,2.9,-0.4,0.1
1/1/2016,-5.46964,-7.6,-11.78010471,-6.363636364,1.5,0.2,1.3
1/1/2017,-9.05786,-10.8,-11.27596439,-11.26213592,2.4,0.1,2.1
1/1/2018,-9.32712,-10.5,-13.15496098,-9.409190372,2.9,0.0,2.4
